County in CA,Air Pollution (PM2.5)
Alameda County,11.8
Alpine County,9.7
Amador County,14.2
Butte County,16.1
Calaveras County,12.7
Colusa County,12.8
Contra Costa County,11.1
Del Norte County,10.3
El Dorado County,14.6
Fresno County,20.3
Glenn County,17.0
Humboldt County,8.8
Imperial County,11.9
Inyo County,12.2
Kern County,21.1
Kings County,20.0
Lake County,9.6
Lassen County,12.4
Los Angeles County,15.6
Madera County,17.1
Marin County,8.6
Mariposa County,21.3
Mendocino County,12.4
Merced County,15.3
Modoc County,10.4
Mono County,39.1
Monterey County,8.8
Napa County,10.3
Nevada County,12.4
Orange County,12.7
Placer County,13.1
Plumas County,21.1
Riverside County,14.8
Sacramento County,14.9
San Benito County,8.9
San Bernardino County,17.4
San Diego County,20.6
San Francisco County/city,10.5
San Joaquin County,15.1
San Luis Obispo County,10.0
San Mateo County,9.8
Santa Barbara County,9.3
Santa Clara County,12.5
Santa Cruz County,11.1
Shasta County,9.8
Sierra County,10.8
Siskiyou County,10.9
Solano County,12.4
Sonoma County,8.3
Stanislaus County,15.6
Sutter County,16.7
Tehama County,13.3
Trinity County,10.2
Tulare County,20.8
Tuolumne County,16.2
Ventura County,7.9
Yolo County,15.9
Yuba County,16.3
